storeName,address1,city,stateCode,postal,latitude,longitude
SoHo,103 Prince Street,New York,NY,10012,40.725058,-73.999037
World Trade Center,185 Greenwich Street,New York,NY,10007,40.711721,-74.011154
West 14th Street,401 W 14th Street,New York,NY,10014,40.7412,-74.00542
Ridge Hill,143 Market Street,Yonkers,NY,10710,40.96373,-73.85643
Lakeside Shopping Center,3301 Veterans Memorial Blvd,Metairie,LA,70002,30.0060329509251,-90.1571732014215
Renaissance at Colony Park,1000 Highland Colony Parkway,Ridgeland,MS,39157,32.4341939097761,-90.1469243614815
Fashion Island,1113 Newport Center Drive,Newport Beach,CA,92660,33.615091232578,-117.875252942446
Bay Street,5640 Bay Street,Emeryville,CA,94608,37.83475,-122.29224
Fashion Fair,645 E. Shaw Avenue,Fresno,CA,93710,36.80674,-119.77553
The Americana at Brand,877 Americana Way,Glendale,CA,91210,34.14443,-118.25698
State Street,928 State Street,Santa Barbara,CA,93101,34.4213286233217,-119.701544216385
Alderwood,3000 184th Street S.W.,Lynnwood,WA,98037,47.830595,-122.27195
Boise Towne Square,350 North Milwaukee Street,Boise,ID,83704,43.60841,-116.2782
Park Meadows,8405 Park Meadows Center Drv,Lone Tree,CO,80124,39.562176,-104.875562
Memorial City,303 Memorial City,Houston,TX,77024,29.78102,-95.53893
Downtown Brooklyn,123 Flatbush Avenue,Brooklyn,NY,11217-1483,40.685612,-73.978247
Orland Square Mall,288 Orland Square Drive,Orland Park,IL,60462,41.6193,-87.8479
The Westchester,125 Westchester Avenue,White Plains,NY,10601,41.031788,-73.760351
Saint Louis Galleria,2440 Saint Louis Galleria,Saint Louis,MO,63117,38.636143,-90.347891
Willow Grove Park,2500 West Moreland Road,Willow Grove,PA,19090,40.140456,-75.12356
4th Street,1823 4th Street,Berkeley,CA,94710,37.869346,-122.300122
La Cantera,15900 La Cantera Parkway,San Antonio,TX,78256,29.59333,-98.61556
Evergreen Walk,401 Evergreen Walk,South Windsor,CT,06074,41.812848,-72.556558
Burlington,75 Middlesex Turnpike,Burlington,MA,01803,42.48275,-71.21398
Scottsdale Quarter,15169 North Scottsdale Road,Scottsdale,AZ,85254,33.62411,-111.92514
Sherman Oaks,14006 Riverside Drive,Sherman Oaks,CA,91423,34.157258,-118.438615
Greenwich Avenue,356 Greenwich Avenue,Greenwich,CT,06830,41.023298255128,-73.6252960261203
Stonestown,3251 20th Avenue,San Francisco,CA,94132,37.72721492,-122.4769552
Oakbrook,70 Oakbrook Center,Oak Brook,IL,60523,41.84972,-87.9537
Bridgeport Village,7293 SW Bridgeport Road,Tigard,OR,97224,45.39677,-122.75193
Lenox Square,3393 Peachtree Road NE,Atlanta,GA,30326,33.847941,-84.363533
City Creek Center,50 South Main Street,Salt Lake City,UT,84101,40.768413,-111.892042
Hilldale,444 North Midvale Boulevard,Madison,WI,53705,43.0721442814555,-89.4529473781586
Brea Mall,1016C Brea Mall,Brea,CA,92821,33.915871,-117.886592
ABQ Uptown,2240 Q Street NE,Albuquerque,NM,87110,35.10299,-106.56682
The Gardens Mall,3101 PGA Boulevard,Palm Beach Gardens,FL,33410,26.84865,-80.0848
Twenty Ninth Street,1755 29th Street,Boulder,CO,80301,40.01754,-105.25649
Galleria Dallas,13350 Dallas Parkway,Dallas,TX,75240,32.9303923793149,-96.8194042559317
Cielo Vista Mall,8401 Gateway Boulevard West,El Paso,TX,79925,31.77508,-106.3794
Waterside Shops,5555 Tamiami Trail North,Naples,FL,34108,26.2132,-81.8017
Menlo Park,55 Parsonage Road,Edison,NJ,08837,40.549111,-74.335811
Willowbrook Mall,2000 Willowbrook Drive,Houston,TX,77070,29.9605468454527,-95.5392295026013
Mall of Louisiana,6401 Bluebonnet Boulevard,Baton Rouge,LA,70836,30.38801,-91.08676
Danbury Fair Mall,Seven Backus Avenue,Danbury,CT,06810,41.3806,-73.48015
Providence Place,20 Providence Place,Providence,RI,02903,41.8269,-71.4163
Lehigh Valley,250 Lehigh Valley Mall,Whitehall,PA,18052,40.62926,-75.48147
Willowbrook,1400 Willowbrook Mall,Wayne,NJ,07470,40.88944,-74.25861
Glendale Galleria,2126 Glendale Galleria,Glendale,CA,91210,34.14533,-118.25845
Coconut Point,23151 Fashion Drive,Estero,FL,33928,26.4021005908209,-81.8066356980691
Easton Town Center,4210 The Strand,Columbus,OH,43219,40.054068,-82.914958
Grand Central,45 Grand Central Terminal,New York,NY,10017,40.752733,-73.976907
Chestnut Hill,199 Boylston Street,Chestnut Hill,MA,02467,42.321205,-71.17616
Shadyside,5508 Walnut Street,Pittsburgh,PA,15232,40.4510436639289,-79.9333304989619
Smith Haven,516 Smith Haven Mall,Lake Grove,NY,11755,40.8649,-73.1311
Promenade Temecula,40764 Winchester Road,Temecula,CA,92591,33.5237571868904,-117.153113410091
Southlake Town Square,260 Grand Avenue,Southlake,TX,76092,32.943821,-97.130591
Holyoke,50 Holyoke Street,Holyoke,MA,01040,42.1683611939431,-72.6412298664067
King of Prussia,160 N. Gulph Road,King of Prussia,PA,19406,40.088174,-75.391134
Fashion Valley,7007 Friars Road,San Diego,CA,92108,32.7684658716406,-117.165832324545
Country Club Plaza,227 Nichols Road,Kansas City,MO,64112,39.0413,-94.590172
Annapolis,1735 Annapolis Mall,Annapolis,MD,21401,38.990536,-76.54414
Apple Park Visitor Center,10600 North Tantau Avenue,Cupertino,CA,95014,37.33289,-122.0052
CambridgeSide,100 CambridgeSide Place,Cambridge,MA,02141,42.367932,-71.075913
Clarendon,2700 Clarendon Boulevard,Arlington,VA,22201,38.8879290361825,-77.0910429775172
The Galleria,2388 E. Sunrise Boulevard,Fort Lauderdale,FL,33304,26.1368275784615,-80.1141672492307
Otay Ranch,2015 Birch Road,Chula Vista,CA,91915,32.6240134525643,-116.966609291354
Walnut Street,1607 Walnut Street,Philadelphia,PA,19103,39.9500333333333,-75.1678877890826
Pasadena,54 West Colorado Boulevard,Pasadena,CA,91105,34.1457658830705,-118.15158605575
Woodland Hills,7021 S. Memorial Drive,Tulsa,OK,74133,36.06342,-95.88056
Station Park,148 N. East Promontory,Farmington,UT,84025,40.983221,-111.906456
Fritz Farm,4078 Finn Way,Lexington,KY,40517,37.977139,-84.528169
Village Pointe,17170 Davenport Street,Omaha,NE,68118,41.261188,-96.183078
Twelve Oaks,27500 Novi Road,Novi,MI,48377,42.4924,-83.4704
Palo Alto,340 University Avenue,Palo Alto,CA,94301,37.44637,-122.16077
Kenwood Towne Centre,7875 Montgomery Road,Cincinnati,OH,45236,39.201632,-84.37789
Pentagon City,1100 South Hayes Street,Arlington,VA,22202,38.86311,-77.06122
Southpoint,8030 Renaissance Parkway,Durham,NC,27713,35.905106,-78.943003
The Mall of New Hampshire,1500 S Willow Street,Manchester,NH,03103,42.9562362,-71.4324994
West County,131 West County Center,St. Louis,MO,63131,38.601199,-90.447078
Carnegie Library,801 K Street NW,Washington,DC,20001,38.902601,-77.022989
Manhasset,1900 Northern Boulevard,Manhasset,NY,11030,40.7950212155573,-73.6764862431951
Millenia,4200 Conroy Road,Orlando,FL,32839,28.486,-81.43174
Century City,10250 Santa Monica Boulevard,Los Angeles,CA,90067,34.05855,-118.418116
Ala Moana,1450 Ala Moana Boulevard,Honolulu,HI,96814,21.2902362221103,-157.842305770593
Queens Center,90-15 Queens Boulevard,Elmhurst,NY,11373,40.734751,-73.869029
Westfarms,500 Westfarms Mall,Farmington,CT,06032,41.7227580269158,-72.764513057434
Franklin Park Mall,5001 Monroe Street,Toledo,OH,43623,41.694016,-83.640205
Georgetown,1229 Wisconsin Avenue NW,Washington,DC,20007,38.9059225404785,-77.0623101663529
The Forum Shops,3500 Las Vegas Blvd South,Las Vegas,NV,89109,36.1187861111111,-115.177691162857
Perimeter,4400 Ashford Dunwoody Road,Atlanta,GA,30346,33.92409,-84.34062
Hillsdale,60  31st Avenue,San Mateo,CA,94403,37.5389,-122.3018
La Encantada,2905 East Skyline Drive,Tucson,AZ,85718,32.32497,-110.92985
Pioneer Place,450 SW Yamhill Street,Portland,OR,97204,45.5178302,-122.6775182
Union Square,300 Post Street,San Francisco,CA,94108,37.7886,-122.407159
Cherry Hill,2000 Route 38,Cherry Hill,NJ,08002,39.941067,-75.023797
North Star,7400 San Pedro Avenue,San Antonio,TX,78216,29.5181720843081,-98.496084987277
Main Place,120 West Jefferson Avenue,Naperville,IL,60540,41.7728,-88.15037
Polaris Fashion Place,1500 Polaris Parkway,Columbus,OH,43240,40.14572,-82.98037
Mission Viejo,936C Shops at Mission Viejo,Mission Viejo,CA,92691,33.557258,-117.670118
Stoneridge Mall,One Stoneridge Mall,Pleasanton,CA,94588,37.69525,-121.92867
Anchorage 5th Avenue Mall,320 West 5th Avenue,Anchorage,AK,99501,61.216734,-149.888387
Tower Theatre,802 S Broadway,Los Angeles,CA,90014,34.0435491,-118.2546643
Crabtree Valley Mall,4325 Glenwood Avenue,Raleigh,NC,27612,35.840118,-78.679187
Burlingame,1301 Burlingame Avenue,Burlingame,CA,94010,37.57827,-122.34708
Northridge,9301 Tampa Avenue,Northridge,CA,91324,34.2396176052234,-118.556073088477
Aventura,19501 Biscayne Boulevard,Aventura,FL,33180,25.95825,-80.141707
Fashion Show,3200 Las Vegas Blvd South,Las Vegas,NV,89109,36.127508,-115.173007
Rockaway,301 Mt. Hope Avenue,Rockaway,NJ,07866,40.906615,-74.553704
Beverly Center,8500 Beverly Boulevard,Los Angeles,CA,90048,34.0749,-118.3773
Freehold Raceway Mall,3710 Route 9 South,Freehold,NJ,07728,40.2526921382089,-74.3003351236043
Infinite Loop,One Infinite Loop,Cupertino,CA,95014,37.331423,-122.030503
Washington Square,9585 SW Washington Square Rd,Tigard,OR,97223,45.450701,-122.780998
Woodland,3195 28th Street,Grand Rapids,MI,49512,42.9166,-85.5883
South Hills Village,301 South Hills Village,Pittsburgh,PA,15241,40.3427,-80.05589
Trumbull,5065 Main Street,Trumbull,CT,06611,41.229466,-73.225779
Lincoln Road,1021 Lincoln Road,Miami Beach,FL,33139,25.79102,-80.139364
International Plaza,2223 N West Shore Boulevard,Tampa,FL,33607,27.96408,-82.51952
South Coast Plaza,3333 Bear Street,Costa Mesa,CA,92626,33.6921,-117.89322
Short Pump Town Center,11800 W. Broad Street,Richmond,VA,23233,37.656044,-77.618722
Summit Sierra,13945 South Virginia Street,Reno,NV,89511,39.4031,-119.7516
Roseville,1151 Galleria Boulevard,Roseville,CA,95678,38.773042110625,-121.26993510375
Park City,541 Park City Center,Lancaster,PA,17601,40.0666215165312,-76.3393042378344
